,k = 1,k = 2,k = 3
count,100.0,100.0,100.0
mean,0.9082296296296297,0.984148148148148,0.9951555555555555
std,0.004480332719232726,0.0025530087017935615,0.0013209719205666982
min,0.8977777777777778,0.9777777777777777,0.9911111111111112
25%,0.905,0.9822222222222222,0.9946296296296296
50%,0.9088888888888889,0.9844444444444445,0.9955555555555555
75%,0.9111111111111111,0.9859259259259259,0.9955555555555555
max,0.9185185185185185,0.9896296296296296,0.9985185185185185
