"CC legal tool","Count"
"CC BY","11590371000"
"CC BY-NC","3453615000"
"CC BY-NC-ND","2023879600"
"CC BY-NC-SA","1492846200"
"CC BY-ND","2795561700"
"CC BY-SA","6181837000"
