"Language","Count"
"Northern Luri","1"
"Muscogee","1"
"Hiri Motu","3"
"Sichuan Yi","3"
"Marshallese","4"
"Kuanyama","4"
"Choctaw","6"
"Ndonga","8"
"Cree","14"
"Tigre","41"
