"CC legal tool product","Count"
"Licenses version 4.0","1013700000"
"Licenses version 3.0","12380440300"
"Licenses version 2.x","14757114342"
"Licenses version 1.0","1645230000"
"CC0 1.0","26400000"
"Public Domain Mark 1.0","10200000"
"Certification 1.0 US","45700000"
