"Language","Count"
"English","7095068"
"Cebuano","6115864"
"German","3071559"
"French","2721837"
"Swedish","2619580"
"Dutch","2203326"
"Spanish","2075904"
"Russian","2072909"
"Italian","1945506"
"Polish","1675671"
