"Language","Count"
"English","1012210000"
"Spanish","13027300"
"German","6832400"
"Indonesian","4868050"
"Portuguese","3986200"
"French","2693300"
"Italian","674000"
"Russian","615420"
"Turkish","539810"
"Slovenian","497580"
"Japanese","481190"
"Polish","481100"
"Dutch","450710"
"Chinese (Simplified)","322140"
"Korean","271010"
"Czech","255730"
"Swedish","221200"
"Catalan","179060"
"Serbian","175630"
"Croatian","150780"
"Danish","142040"
"Norwegian","131260"
"Finnish","115060"
"Greek","102670"
"Arabic","85400"
"Hungarian","77276"
"Chinese (Traditional)","76731"
"Slovak","69148"
"Romanian","67724"
"Lithuanian","63782"
"Latvian","53135"
"Hebrew","42788"
"Icelandic","25972"
"Estonian","25227"
"Bulgarian","24656"
