"CC legal tool","Count"
"CC DEVNATIONS","142"
"CC NC","95020000"
"CC NC-SA","39541000"
"CC ND","261300000"
"CC ND-NC","92623000"
"CC SA","196290000"
"CC NC-SAMPLING+","41000000"
"CC SAMPLING","220500000"
"CC SAMPLING+","298400000"
"CC PUBLICDOMAIN","45700000"
