"CC legal tool","Count"
"CC BY 4.0","391000000"
"CC BY-NC 4.0","137000000"
"CC BY-NC-ND 4.0","138000000"
"CC BY-NC-SA 4.0","58700000"
"CC BY-ND 4.0","107000000"
"CC BY-SA 4.0","182000000"
"PDM 1.0","10200000"
"CC0 1.0","26400000"
