"TOOL_IDENTIFIER","SPDX_IDENTIFIER","COUNT"
"BSD Zero Clause License","0BSD","64960"
"CC0 1.0","CC0-1.0","367344"
"CC BY 4.0","CC-BY-4.0","105257"
"CC BY-SA 4.0","CC-BY-SA-4.0","31913"
"MIT No Attribution","MIT-0","36936"
"Unlicense","Unlicense","417527"
"Total public repositories","N/A","308055974"
