"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"1","CC BY 4.0","394000000"
"2","CC BY-NC 4.0","165000000"
"3","CC BY-NC-ND 4.0","166000000"
"4","CC BY-NC-SA 4.0","66400000"
"5","CC BY-ND 4.0","394000000"
"6","CC BY-SA 4.0","201000000"
"7","PDM 1.0","10400000"
"8","CC0 1.0","25700000"
"9","CC BY 3.0","166000000"
"10","CC BY-NC 3.0","50800000"
"11","CC BY-NC-ND 3.0","51300000"
"12","CC BY-NC-SA 3.0","21000000"
"13","CC BY-ND 3.0","199000000"
"14","CC BY-SA 3.0","88100000"
"15","CC BY 2.5","226000000"
"16","CC BY-NC 2.5","54100000"
"17","CC BY-NC-ND 2.5","54600000"
"18","CC BY-NC-SA 2.5","23900000"
"19","CC BY-ND 2.5","230000000"
"20","CC BY-SA 2.5","109000000"
"21","CC BY 2.0","158000000"
"22","CC BY-NC 2.0","37900000"
"23","CC BY-NC-ND 2.0","37800000"
"24","CC BY-NC-SA 2.0","17000000"
"25","CC BY-ND 2.0","156000000"
"26","CC BY-SA 2.0","77100000"
"27","CC BY 1.0","212000000"
"28","CC BY-NC 1.0","38900000"
"29","CC BY-NC-SA 1.0","17300000"
"30","CC BY-ND 1.0","210000000"
"31","CC BY-ND-NC 1.0","40900000"
"32","CC BY-SA 1.0","86600000"
"33","CC BY 3.0 AM","115000000"
"34","CC BY-NC 3.0 AM","28400000"
"35","CC BY-NC-ND 3.0 AM","28400000"
"36","CC BY-NC-SA 3.0 AM","13400000"
"37","CC BY-ND 3.0 AM","123000000"
"38","CC BY-SA 3.0 AM","50600000"
"39","CC BY 3.0 AT","396000000"
"40","CC BY-NC 3.0 AT","208000000"
"41","CC BY-NC-ND 3.0 AT","41400000"
"42","CC BY-NC-SA 3.0 AT","95800000"
"43","CC BY-ND 3.0 AT","199000000"
"44","CC BY-SA 3.0 AT","320000000"
"45","CC BY 3.0 AU","200000000"
"46","CC BY-NC 3.0 AU","41000000"
"47","CC BY-NC-ND 3.0 AU","8310000"
"48","CC BY-NC-SA 3.0 AU","17300000"
"49","CC BY-ND 3.0 AU","27200000"
"50","CC BY-SA 3.0 AU","93800000"
"51","CC BY 3.0 AZ","17700000"
"52","CC BY-NC 3.0 AZ","685000"
"53","CC BY-NC-ND 3.0 AZ","685000"
"54","CC BY-NC-SA 3.0 AZ","307000"
"55","CC BY-ND 3.0 AZ","17400000"
"56","CC BY-SA 3.0 AZ","5780000"
"57","CC BY 3.0 BR","34400000"
"58","CC BY-NC 3.0 BR","10400000"
"59","CC BY-NC-ND 3.0 BR","10200000"
"60","CC BY-NC-SA 3.0 BR","1120000"
"61","CC BY-ND 3.0 BR","33700000"
"62","CC BY-SA 3.0 BR","17700000"
"63","CC BY 3.0 CA","112000000"
"64","CC BY-NC 3.0 CA","24700000"
"65","CC BY-NC-ND 3.0 CA","24600000"
"66","CC BY-NC-SA 3.0 CA","12100000"
"67","CC BY-ND 3.0 CA","111000000"
"68","CC BY-SA 3.0 CA","47900000"
"69","CC BY 3.0 CH","78000000"
"70","CC BY-NC 3.0 CH","17300000"
"71","CC BY-NC-ND 3.0 CH","14000000"
"72","CC BY-NC-SA 3.0 CH","6330000"
