"PLAN_INDEX","TOOL_IDENTIFIER","LANGUAGE","COUNT"
"641","CC BY 4.0","Arabic","47800"
"642","CC BY 4.0","Bulgarian","17300"
"643","CC BY 4.0","Catalan","184000"
"644","CC BY 4.0","Chinese (Simplified)","202000"
"645","CC BY 4.0","Chinese (Traditional)","41700"
"646","CC BY 4.0","Croatian","68600"
"647","CC BY 4.0","Czech","147000"
"648","CC BY 4.0","Danish","82200"
"649","CC BY 4.0","Dutch","92800"
"650","CC BY 4.0","English","387000000"
"651","CC BY 4.0","Estonian","10200"
"652","CC BY 4.0","Finnish","79200"
"653","CC BY 4.0","French","1410000"
"654","CC BY 4.0","German","5290000"
"655","CC BY 4.0","Greek","40600"
"656","CC BY 4.0","Hebrew","48000"
"657","CC BY 4.0","Hungarian","33600"
"658","CC BY 4.0","Icelandic","20700"
"659","CC BY 4.0","Indonesian","5960000"
"660","CC BY 4.0","Italian","246000"
"661","CC BY 4.0","Japanese","292000"
"662","CC BY 4.0","Korean","107000"
"663","CC BY 4.0","Latvian","41600"
"664","CC BY 4.0","Lithuanian","46800"
"665","CC BY 4.0","Norwegian","72600"
"666","CC BY 4.0","Polish","201000"
"667","CC BY 4.0","Portuguese","1590000"
"668","CC BY 4.0","Romanian","32500"
"669","CC BY 4.0","Russian","712000"
"670","CC BY 4.0","Serbian","75700"
"671","CC BY 4.0","Slovak","28800"
"672","CC BY 4.0","Slovenian","172000"
"673","CC BY 4.0","Spanish","6590000"
"674","CC BY 4.0","Swedish","72400"
"675","CC BY 4.0","Turkish","184000"
"676","CC BY-NC 4.0","Arabic","10500"
"677","CC BY-NC 4.0","Bulgarian","891"
"678","CC BY-NC 4.0","Catalan","11200"
"679","CC BY-NC 4.0","Chinese (Simplified)","28800"
"680","CC BY-NC 4.0","Chinese (Traditional)","6510"
"681","CC BY-NC 4.0","Croatian","10800"
"682","CC BY-NC 4.0","Czech","12600"
"683","CC BY-NC 4.0","Danish","3480"
"684","CC BY-NC 4.0","Dutch","15300"
"685","CC BY-NC 4.0","English","149000000"
"686","CC BY-NC 4.0","Estonian","2690"
"687","CC BY-NC 4.0","Finnish","10800"
"688","CC BY-NC 4.0","French","759000"
"689","CC BY-NC 4.0","German","95600"
"690","CC BY-NC 4.0","Greek","11800"
"691","CC BY-NC 4.0","Hebrew","7460"
"692","CC BY-NC 4.0","Hungarian","5720"
"693","CC BY-NC 4.0","Icelandic","7890"
"694","CC BY-NC 4.0","Indonesian","117000"
"695","CC BY-NC 4.0","Italian","36000"
"696","CC BY-NC 4.0","Japanese","19400"
"697","CC BY-NC 4.0","Korean","42400"
"698","CC BY-NC 4.0","Latvian","10500"
"699","CC BY-NC 4.0","Lithuanian","2710"
"700","CC BY-NC 4.0","Norwegian","6010"
"701","CC BY-NC 4.0","Polish","61900"
"702","CC BY-NC 4.0","Portuguese","498000"
"703","CC BY-NC 4.0","Romanian","4290"
"704","CC BY-NC 4.0","Russian","31700"
"705","CC BY-NC 4.0","Serbian","4720"
"706","CC BY-NC 4.0","Slovak","2570"
"707","CC BY-NC 4.0","Slovenian","82200"
"708","CC BY-NC 4.0","Spanish","729000"
"709","CC BY-NC 4.0","Swedish","7710"
"710","CC BY-NC 4.0","Turkish","114000"
"711","CC BY-NC-ND 4.0","Arabic","10700"
"712","CC BY-NC-ND 4.0","Bulgarian","629"
"713","CC BY-NC-ND 4.0","Catalan","9890"
"714","CC BY-NC-ND 4.0","Chinese (Simplified)","27600"
"715","CC BY-NC-ND 4.0","Chinese (Traditional)","6090"
"716","CC BY-NC-ND 4.0","Croatian","4250"
"717","CC BY-NC-ND 4.0","Czech","9920"
"718","CC BY-NC-ND 4.0","Danish","3010"
"719","CC BY-NC-ND 4.0","Dutch","12400"
"720","CC BY-NC-ND 4.0","English","147000000"
"721","CC BY-NC-ND 4.0","Estonian","2100"
"722","CC BY-NC-ND 4.0","Finnish","6950"
"723","CC BY-NC-ND 4.0","French","679000"
"724","CC BY-NC-ND 4.0","German","70000"
"725","CC BY-NC-ND 4.0","Greek","5420"
"726","CC BY-NC-ND 4.0","Hebrew","6450"
"727","CC BY-NC-ND 4.0","Hungarian","3290"
"728","CC BY-NC-ND 4.0","Icelandic","6790"
"729","CC BY-NC-ND 4.0","Indonesian","74200"
"730","CC BY-NC-ND 4.0","Italian","33600"
"731","CC BY-NC-ND 4.0","Japanese","27400"
"732","CC BY-NC-ND 4.0","Korean","42000"
"733","CC BY-NC-ND 4.0","Latvian","4460"
"734","CC BY-NC-ND 4.0","Lithuanian","1220"
"735","CC BY-NC-ND 4.0","Norwegian","3930"
"736","CC BY-NC-ND 4.0","Polish","28100"
"737","CC BY-NC-ND 4.0","Portuguese","375000"
"738","CC BY-NC-ND 4.0","Romanian","1620"
"739","CC BY-NC-ND 4.0","Russian","27800"
"740","CC BY-NC-ND 4.0","Serbian","3410"
"741","CC BY-NC-ND 4.0","Slovak","890"
"742","CC BY-NC-ND 4.0","Slovenian","25500"
"743","CC BY-NC-ND 4.0","Spanish","381000"
"744","CC BY-NC-ND 4.0","Swedish","7350"
"745","CC BY-NC-ND 4.0","Turkish","60600"
"746","CC BY-NC-SA 4.0","Arabic","2350"
"747","CC BY-NC-SA 4.0","Bulgarian","540"
"748","CC BY-NC-SA 4.0","Catalan","2870"
"749","CC BY-NC-SA 4.0","Chinese (Simplified)","7850"
"750","CC BY-NC-SA 4.0","Chinese (Traditional)","1140"
"751","CC BY-NC-SA 4.0","Croatian","10200"
"752","CC BY-NC-SA 4.0","Czech","4110"
"753","CC BY-NC-SA 4.0","Danish","621"
"754","CC BY-NC-SA 4.0","Dutch","2500"
"755","CC BY-NC-SA 4.0","English","57500000"
"756","CC BY-NC-SA 4.0","Estonian","1800"
"757","CC BY-NC-SA 4.0","Finnish","1920"
"758","CC BY-NC-SA 4.0","French","333000"
"759","CC BY-NC-SA 4.0","German","35500"
"760","CC BY-NC-SA 4.0","Greek","3330"
"761","CC BY-NC-SA 4.0","Hebrew","272"
"762","CC BY-NC-SA 4.0","Hungarian","3490"
"763","CC BY-NC-SA 4.0","Icelandic","1260"
"764","CC BY-NC-SA 4.0","Indonesian","47300"
"765","CC BY-NC-SA 4.0","Italian","29100"
"766","CC BY-NC-SA 4.0","Japanese","6930"
"767","CC BY-NC-SA 4.0","Korean","10500"
"768","CC BY-NC-SA 4.0","Latvian","2410"
"769","CC BY-NC-SA 4.0","Lithuanian","319"
"770","CC BY-NC-SA 4.0","Norwegian","1860"
"771","CC BY-NC-SA 4.0","Polish","22500"
"772","CC BY-NC-SA 4.0","Portuguese","330000"
"773","CC BY-NC-SA 4.0","Romanian","1300"
"774","CC BY-NC-SA 4.0","Russian","10400"
"775","CC BY-NC-SA 4.0","Serbian","4620"
"776","CC BY-NC-SA 4.0","Slovak","2440"
"777","CC BY-NC-SA 4.0","Slovenian","25300"
"778","CC BY-NC-SA 4.0","Spanish","323000"
"779","CC BY-NC-SA 4.0","Swedish","1450"
"780","CC BY-NC-SA 4.0","Turkish","54800"
"781","CC BY-ND 4.0","Arabic","42600"
"782","CC BY-ND 4.0","Bulgarian","13900"
"783","CC BY-ND 4.0","Catalan","87300"
"784","CC BY-ND 4.0","Chinese (Simplified)","185000"
"785","CC BY-ND 4.0","Chinese (Traditional)","35700"
"786","CC BY-ND 4.0","Croatian","49500"
"787","CC BY-ND 4.0","Czech","68800"
"788","CC BY-ND 4.0","Danish","43800"
"789","CC BY-ND 4.0","Dutch","86300"
"790","CC BY-ND 4.0","English","384000000"
"791","CC BY-ND 4.0","Estonian","8620"
"792","CC BY-ND 4.0","Finnish","61200"
"793","CC BY-ND 4.0","French","457000"
"794","CC BY-ND 4.0","German","952000"
"795","CC BY-ND 4.0","Greek","35600"
"796","CC BY-ND 4.0","Hebrew","45500"
"797","CC BY-ND 4.0","Hungarian","22400"
"798","CC BY-ND 4.0","Icelandic","14000"
"799","CC BY-ND 4.0","Indonesian","4560000"
"800","CC BY-ND 4.0","Italian","170000"
"801","CC BY-ND 4.0","Japanese","318000"
"802","CC BY-ND 4.0","Korean","84700"
"803","CC BY-ND 4.0","Latvian","21800"
"804","CC BY-ND 4.0","Lithuanian","26600"
"805","CC BY-ND 4.0","Norwegian","54200"
"806","CC BY-ND 4.0","Polish","157000"
"807","CC BY-ND 4.0","Portuguese","648000"
"808","CC BY-ND 4.0","Romanian","24500"
"809","CC BY-ND 4.0","Russian","318000"
"810","CC BY-ND 4.0","Serbian","48300"
"811","CC BY-ND 4.0","Slovak","20700"
"812","CC BY-ND 4.0","Slovenian","156000"
"813","CC BY-ND 4.0","Spanish","3960000"
"814","CC BY-ND 4.0","Swedish","53700"
"815","CC BY-ND 4.0","Turkish","156000"
"816","CC BY-SA 4.0","Arabic","15800"
"817","CC BY-SA 4.0","Bulgarian","12900"
"818","CC BY-SA 4.0","Catalan","31700"
"819","CC BY-SA 4.0","Chinese (Simplified)","44500"
"820","CC BY-SA 4.0","Chinese (Traditional)","11300"
"821","CC BY-SA 4.0","Croatian","67600"
"822","CC BY-SA 4.0","Czech","51200"
"823","CC BY-SA 4.0","Danish","20300"
"824","CC BY-SA 4.0","Dutch","45400"
"825","CC BY-SA 4.0","English","174000000"
"826","CC BY-SA 4.0","Estonian","5360"
"827","CC BY-SA 4.0","Finnish","21100"
"828","CC BY-SA 4.0","French","475000"
"829","CC BY-SA 4.0","German","1930000"
"830","CC BY-SA 4.0","Greek","20400"
"831","CC BY-SA 4.0","Hebrew","10300"
"832","CC BY-SA 4.0","Hungarian","20700"
"833","CC BY-SA 4.0","Icelandic","5160"
"834","CC BY-SA 4.0","Indonesian","331000"
"835","CC BY-SA 4.0","Italian","298000"
"836","CC BY-SA 4.0","Japanese","80300"
"837","CC BY-SA 4.0","Korean","39300"
"838","CC BY-SA 4.0","Latvian","11100"
"839","CC BY-SA 4.0","Lithuanian","10300"
"840","CC BY-SA 4.0","Norwegian","40800"
"841","CC BY-SA 4.0","Polish","146000"
"842","CC BY-SA 4.0","Portuguese","487000"
"843","CC BY-SA 4.0","Romanian","26300"
"844","CC BY-SA 4.0","Russian","148000"
"845","CC BY-SA 4.0","Serbian","73700"
"846","CC BY-SA 4.0","Slovak","29100"
"847","CC BY-SA 4.0","Slovenian","158000"
"848","CC BY-SA 4.0","Spanish","4470000"
"849","CC BY-SA 4.0","Swedish","36200"
"850","CC BY-SA 4.0","Turkish","135000"
"851","PDM 1.0","Arabic","6670"
"852","PDM 1.0","Bulgarian","1410"
"853","PDM 1.0","Catalan","3970"
"854","PDM 1.0","Chinese (Simplified)","12200"
"855","PDM 1.0","Chinese (Traditional)","3530"
"856","PDM 1.0","Croatian","2660"
"857","PDM 1.0","Czech","19400"
"858","PDM 1.0","Danish","5050"
"859","PDM 1.0","Dutch","35700"
"860","PDM 1.0","English","6330000"
"861","PDM 1.0","Estonian","2260"
"862","PDM 1.0","Finnish","4470"
"863","PDM 1.0","French","65000"
"864","PDM 1.0","German","58300"
"865","PDM 1.0","Greek","3110"
"866","PDM 1.0","Hebrew","2530"
"867","PDM 1.0","Hungarian","3210"
"868","PDM 1.0","Icelandic","583"
"869","PDM 1.0","Indonesian","4940"
"870","PDM 1.0","Italian","41900"
"871","PDM 1.0","Japanese","16900"
"872","PDM 1.0","Korean","8700"
"873","PDM 1.0","Latvian","860"
"874","PDM 1.0","Lithuanian","1920"
"875","PDM 1.0","Norwegian","4230"
"876","PDM 1.0","Polish","13300"
"877","PDM 1.0","Portuguese","18300"
"878","PDM 1.0","Romanian","4310"
"879","PDM 1.0","Russian","20900"
"880","PDM 1.0","Serbian","3100"
"881","PDM 1.0","Slovak","2510"
"882","PDM 1.0","Slovenian","5670"
"883","PDM 1.0","Spanish","53000"
"884","PDM 1.0","Swedish","17800"
"885","PDM 1.0","Turkish","5280"
"886","CC0 1.0","Arabic","10600"
"887","CC0 1.0","Bulgarian","3690"
"888","CC0 1.0","Catalan","7960"
"889","CC0 1.0","Chinese (Simplified)","17700"
"890","CC0 1.0","Chinese (Traditional)","5680"
"891","CC0 1.0","Croatian","6480"
"892","CC0 1.0","Czech","21900"
"893","CC0 1.0","Danish","19100"
"894","CC0 1.0","Dutch","64400"
"895","CC0 1.0","English","21900000"
"896","CC0 1.0","Estonian","3410"
"897","CC0 1.0","Finnish","18700"
"898","CC0 1.0","French","67700"
"899","CC0 1.0","German","83900"
"900","CC0 1.0","Greek","10200"
"901","CC0 1.0","Hebrew","4380"
"902","CC0 1.0","Hungarian","4930"
"903","CC0 1.0","Icelandic","1970"
"904","CC0 1.0","Indonesian","8090"
"905","CC0 1.0","Italian","58700"
"906","CC0 1.0","Japanese","19800"
"907","CC0 1.0","Korean","10300"
"908","CC0 1.0","Latvian","4680"
"909","CC0 1.0","Lithuanian","7190"
"910","CC0 1.0","Norwegian","6800"
"911","CC0 1.0","Polish","22000"
"912","CC0 1.0","Portuguese","29900"
"913","CC0 1.0","Romanian","10400"
"914","CC0 1.0","Russian","61600"
"915","CC0 1.0","Serbian","31200"
"916","CC0 1.0","Slovak","6470"
"917","CC0 1.0","Slovenian","3780"
"918","CC0 1.0","Spanish","91400"
"919","CC0 1.0","Swedish","40800"
"920","CC0 1.0","Turkish","20000"
