"TOOL_IDENTIFIER","COUNT"
"CC BY 3.0","7912"
"CC BY 4.0","508185"
"CC BY-NC-ND 4.0","79769"
"CC BY-NC-SA 3.0","5873"
"CC BY-NC-SA 4.0","59845"
"CC BY-SA 4.0","27524"
"CC0 1.0","20124"
