"LANGUAGE_CODE","LANGUAGE_NAME_EN","LANGUAGE_NAME","COUNT"
"ab","Abkhazian","аԥсшәа","6499"
"ace","Acehnese","Acèh","13046"
"ady","Adyghe","адыгабзэ","640"
"af","Afrikaans","Afrikaans","128631"
"alt","Southern Altai","алтай тил","1107"
"am","Amharic","አማርኛ","15635"
"ami","Amis","Pangcah","1148"
"an","Aragonese","aragonés","63363"
"ang","Old English","Ænglisc","5181"
"ann","Obolo","Obolo","433"
"anp","Angika","अंगिका","1681"
"ar","Arabic","العربية","1306923"
"arc","Aramaic","ܐܪܡܝܐ","1918"
"ary","Moroccan Arabic","الدارجة","13606"
"arz","Egyptian Arabic","مصرى","1631203"
"as","Assamese","অসমীয়া","23993"
"ast","Asturian","asturianu","138994"
"atj","Atikamekw","Atikamekw","2078"
"av","Avaric","авар","4013"
"avk","Kotava","Kotava","29900"
"awa","Awadhi","अवधी","2844"
"ay","Aymara","Aymar aru","5255"
"az","Azerbaijani","azərbaycanca","212961"
"azb","South Azerbaijani","تۆرکجه","244606"
"ba","Bashkir","башҡортса","63956"
"ban","Balinese","Basa Bali","36455"
"bar","Bavarian","Boarisch","27221"
"bbc","Batak Toba","Batak Toba","1410"
"bcl","Central Bikol","Bikol Central","21800"
"bdr","West Coast Bajau","Bajau Sama","236"
"be","Belarusian","беларуская","262691"
"be-tarask","Belarusian (Taraškievica orthography)","беларуская (тарашкевіца)","90780"
"bew","Betawi","Betawi","3215"
"bg","Bulgarian","български","309223"
"bh","Bhojpuri","भोजपुरी","8963"
"bi","Bislama","Bislama","1487"
"bjn","Banjar","Banjar","11847"
"blk","Pa'O","ပအိုဝ်ႏဘာႏသာႏ","2915"
"bm","Bambara","bamanankan","865"
"bn","Bangla","বাংলা","186569"
"bo","Tibetan","བོད་ཡིག","8037"
"bpy","Bishnupriya","বিষ্ণুপ্রিয়া মণিপুরী","25092"
"br","Breton","brezhoneg","90940"
"bs","Bosnian","bosanski","97523"
"btm","Batak Mandailing","Batak Mandailing","1210"
"bug","Buginese","Basa Ugi","15955"
"bxr","Russia Buriat","буряад","2913"
"ca","Catalan","català","791582"
"cbk-zam","Chavacano","Chavacano de Zamboanga","3250"
"cdo","Mindong","閩東語 / Mìng-dĕ̤ng-ngṳ̄","16706"
"ce","Chechen","нохчийн","864543"
"ceb","Cebuano","Cebuano","6115167"
"ch","Chamorro","Chamoru","559"
"cho","Choctaw","Chahta anumpa","6"
"chr","Cherokee","ᏣᎳᎩ","988"
"chy","Cheyenne","Tsetsêhestâhese","1100"
"ckb","Central Kurdish","کوردی","81025"
"co","Corsican","corsu","8656"
"crh","Crimean Tatar","qırımtatarca","29680"
"cs","Czech","čeština","589510"
"csb","Kashubian","kaszëbsczi","5542"
"cu","Church Slavic","словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ","1349"
"cv","Chuvash","чӑвашла","58852"
"cy","Welsh","Cymraeg","284065"
"da","Danish","dansk","313571"
"dag","Dagbani","dagbanli","13631"
"de","German","Deutsch","3111152"
"dga","Southern Dagaare","Dagaare","3149"
"din","Dinka","Thuɔŋjäŋ","323"
"diq","Dimli","Zazaki","42610"
"dsb","Lower Sorbian","dolnoserbski","3444"
"dtp","Central Dusun","Kadazandusun","1796"
"dty","Doteli","डोटेली","3677"
"dv","Divehi","ދިވެހިބަސް","3189"
"dz","Dzongkha","ཇོང་ཁ","388"
"ee","Ewe","eʋegbe","1302"
"el","Greek","Ελληνικά","267744"
"eml","Emiliano-Romagnolo","emiliàn e rumagnòl","13985"
"en","English","English","7165056"
"eo","Esperanto","Esperanto","383928"
"es","Spanish","español","2105870"
"et","Estonian","eesti","258778"
"eu","Basque","euskara","483287"
"ext","Extremaduran","estremeñu","4183"
"fa","Persian","فارسی","1072873"
"fat","Fanti","mfantse","1796"
"ff","Fula","Fulfulde","16875"
"fi","Finnish","suomi","615773"
"fj","Fijian","Na Vosa Vakaviti","1711"
"fo","Faroese","føroyskt","14204"
"fon","Fon","fɔ̀ngbè","3554"
"fr","French","français","2749887"
"frp","Arpitan","arpetan","5826"
"frr","Northern Frisian","Nordfriisk","21061"
"fur","Friulian","furlan","4945"
"fy","Western Frisian","Frysk","59710"
"ga","Irish","Gaeilge","63692"
"gag","Gagauz","Gagauz","3013"
"gan","Gan","贛語","6817"
"gcr","Guianan Creole","kriyòl gwiyannen","1076"
"gd","Scottish Gaelic","Gàidhlig","16046"
"gl","Galician","galego","230723"
"glk","Gilaki","گیلکی","48304"
"gn","Guarani","Avañe'ẽ","6023"
"gom","Goan Konkani","गोंयची कोंकणी / Gõychi Konknni","3642"
"gor","Gorontalo","Bahasa Hulontalo","15101"
"got","Gothic","𐌲𐌿𐍄𐌹𐍃𐌺","1005"
"gpe","Ghanaian Pidgin","Ghanaian Pidgin","4912"
"gsw","Alemannic","Alemannisch","31645"
"gu","Gujarati","ગુજરાતી","30840"
"guc","Wayuu","wayuunaiki","697"
"gur","Frafra","farefare","1347"
"guw","Gun","gungbe","1643"
"gv","Manx","Gaelg","7096"
"ha","Hausa","Hausa","95433"
"hak","Hakka Chinese","客家語 / Hak-kâ-ngî","10405"
"haw","Hawaiian","Hawaiʻi","2976"
"he","Hebrew","עברית","394304"
"hi","Hindi","हिन्दी","168920"
"hif","Fiji Hindi","Fiji Hindi","12223"
"ho","Hiri Motu","Hiri Motu","3"
"hr","Croatian","hrvatski","230643"
"hsb","Upper Sorbian","hornjoserbsce","14236"
"ht","Haitian Creole","Kreyòl ayisyen","71780"
"hu","Hungarian","magyar","567701"
"hy","Armenian","հայերեն","325552"
"hyw","Western Armenian","Արեւմտահայերէն","13495"
"ia","Interlingua","interlingua","30408"
"iba","Iban","Jaku Iban","2336"
"id","Indonesian","Bahasa Indonesia","768247"
"ie","Interlingue","Interlingue","13524"
"ig","Igbo","Igbo","45305"
"igl","Igala","Igala","1082"
"ii","Sichuan Yi","ꆇꉙ","3"
